Subj,V-participate,A-participate,V-input,A-input,V-pathways,A-pathways,V-purpose,A-purpose
1,1,1,3,3,4,4,4,4
2,1,1,5,4,5,5,3,3
3,1,1,2,3,2,4,2,2
4,1,1,5,5,4,5,4,5
8,1,1,3,4,4,4,4,4
10,1,1,4,5,4,5,4,5
11,1,1,5,4,5,4,5,4
12,1,1,3,3,3,3,3,3
13,1,1,2,2,2,2,2,2
14,1,1,4,4,5,5,4,4
15,1,1,3,3,4,5,4,5
16,1,1,2,4,3,4,3,5
17,1,1,4,5,3,5,4,5
18,1,1,3,3,5,5,3,3
19,1,1,4,4,3,4,4,4
22,1,1,3,3,3,3,3,3
23,1,1,4,4,5,5,4,4
24,1,1,3,4,5,5,4,4
25,1,1,3,4,3,4,3,4
26,1,1,3.5,5,5,5,4,5
27,1,1,3,3,3,3,3,3
28,1,1,4,4,4,4,4,4
29,1,1,5,5,5,5,4,4
31,1,1,4,4,4,5,5,5
32,1,1,3,3,4,4,2,3
36,1,1,4,4,5,5,4,4
37,1,1,3,3,5,5,4,4
38,1,1,3,4,4,4,3,4
40,1,1,4,4,5,5,4,4
41,1,1,4,4,5,5,5,5
42,1,1,4,3,4,4,2,3
43,1,1,5,5,5,5,5,5
44,1,1,3,3,3,3,3,3
45,1,1,3,2,3,3,2,2
46,1,1,5,5,5,5,5,5
48,1,1,3,3,5,5,4,4
49,1,1,4,4,5,5,4,4
50,1,1,3,3,4,4,2,2
51,1,1,4,5,4,4,3,5
53,1,1,2,2,3,4,2,3
